样本ID,IP是否为空,地理分布,次级域名数量,有无HTTP响应,类别
docker.com,1,0,1,1,2
dsafds12afg.com,0,0,0,0,1
pbc.camp,1,0,1,1,2
ads2s.com,1,0,1,1,2
ads1.com,1,0,0,1,2
zol12.com,1,0,0,1,2
yeselu.com,1,0,0,1,2
yw55578.com,1,0,1,1,2
jjwxcao.com,1,0,0,1,2
yeselu.com,1,0,0,1,2
660aw.com,1,0,0,1,2
xpj8455.com,1,0,1,1,2
sscq168.com,1,0,1,0,2
nmav45.com,1,0,0,1,2
manisabulteni.com,1,0,0,0,2
aifengbo.com,1,0,0,1,2
liveatmoderaflats.com,1,0,1,0,2
liftgarant.com,1,0,0,0,2
kinmenhome.com,1,0,0,1,2
xxmh301.com,1,0,0,1,2
cn3369.com,1,0,0,0,2
579hh.com,1,0,0,1,2
vqqvpp.com,1,0,0,1,2
423155.com,1,0,0,1,2
wwwmiya138.com,1,0,0,1,2
pcautocar.com,1,0,0,1,2
www5bc5bc.com,1,0,0,1,2
www156996.com,1,0,0,1,2
515sedu.com,1,0,0,1,2
yinwwse.com,1,0,0,1,2
sohugou.com,1,0,0,1,2
ttcctv.net,1,0,0,1,2
sf5200.com,1,0,0,1,2
660aw.com,1,0,0,1,2
zhangle.com,1,1,1,0,3
djyfkj.com,1,1,1,0,3
api001.com,0,0,0,0,1
hgsp.cn,1,1,1,0,3
